date,open,high,low,close,volume
2022-04-01,777.0,802.65,775.55,798.2,4160527
2022-04-04,803.95,837.7,803.0,832.7,5650502
2022-04-05,840.85,840.95,819.45,822.35,3480544
2022-04-06,820.0,828.95,787.75,791.95,5400080
2022-04-07,795.85,801.0,784.0,787.75,3337181
2022-04-08,791.85,799.8,789.05,790.35,1715933
2022-04-11,790.35,809.0,790.35,801.4,2482781
2022-04-12,801.4,801.95,776.4,783.6,2743228
2022-04-13,790.0,793.7,778.0,780.3,1501647
2022-04-18,778.0,778.0,757.3,767.2,2339997
2022-04-19,771.05,778.0,745.3,752.75,2121322
2022-04-20,755.0,761.5,742.85,747.6,2149320
2022-04-21,757.8,761.3,751.15,759.65,1365751
2022-04-22,751.25,766.0,751.0,755.2,1361764
2022-04-25,745.0,754.45,740.0,745.6,1579619
2022-04-26,749.0,762.8,749.0,761.05,1581369
2022-04-27,755.0,758.55,742.1,748.5,1666186
2022-04-28,756.7,761.0,744.1,757.4,1902979
2022-04-29,759.95,766.65,745.0,745.95,1428538
2022-05-02,740.0,742.7,730.15,737.5,1299170
2022-05-04,740.0,744.7,719.15,721.65,1654040
2022-05-05,729.95,732.6,714.2,717.2,1245236
2022-05-06,710.0,710.95,700.0,704.55,2164692
2022-05-09,699.0,702.45,684.25,690.75,1879751
2022-05-10,688.75,698.8,675.0,678.75,1497882
2022-05-11,678.9,688.0,643.65,657.1,2586387
2022-05-12,653.0,653.0,618.0,620.65,3756193
2022-05-13,626.0,661.0,626.0,651.8,3683558
2022-05-16,657.85,659.85,639.55,653.75,2251248
2022-05-17,655.45,687.0,650.55,683.15,2795767
2022-05-18,686.2,692.65,668.6,671.75,2385266
2022-05-19,644.0,661.45,644.0,654.85,2189389
2022-05-20,670.0,670.0,656.0,662.25,1380474
2022-05-23,665.0,676.4,651.55,653.25,2459723
2022-05-24,659.65,659.65,639.0,651.15,2143475
2022-05-25,655.0,658.25,637.0,647.45,2333806
2022-05-26,648.0,652.0,625.25,639.4,2987486
2022-05-27,649.0,665.0,648.0,652.45,2191764
