date,open,high,low,close,volume
2022-04-01,2636.0,2665.15,2622.0,2655.85,3656408
2022-04-04,2655.45,2675.0,2641.65,2663.7,3659307
2022-04-05,2651.1,2669.9,2620.7,2626.05,6068663
2022-04-06,2587.1,2634.5,2587.1,2619.05,5656703
2022-04-07,2595.1,2606.0,2567.0,2572.85,7151632
2022-04-08,2560.0,2625.0,2560.0,2615.65,6992874
2022-04-11,2600.0,2638.55,2583.0,2610.2,4270816
2022-04-12,2587.0,2602.6,2555.4,2561.05,6099986
2022-04-13,2574.5,2592.6,2545.5,2551.65,4778478
2022-04-18,2533.0,2559.8,2521.8,2543.85,4603103
2022-04-19,2558.0,2668.0,2551.05,2640.8,12064446
2022-04-20,2657.1,2734.0,2649.1,2718.45,11570835
2022-04-21,2750.9,2789.0,2732.0,2782.1,10018531
2022-04-22,2758.9,2802.0,2744.2,2758.8,6947490
2022-04-25,2742.4,2758.4,2663.65,2695.0,7874671
2022-04-26,2710.0,2795.0,2707.7,2775.65,5643066
2022-04-27,2755.85,2828.0,2755.05,2778.35,8924920
2022-04-28,2809.95,2851.0,2786.1,2819.85,11820892
2022-04-29,2856.15,2856.15,2777.3,2790.25,8406156
2022-05-02,2762.0,2805.5,2758.05,2780.45,4369022
2022-05-04,2785.0,2790.0,2676.3,2693.65,8882792
2022-05-05,2723.5,2730.0,2632.0,2640.9,7942721
2022-05-06,2612.2,2659.0,2593.55,2620.65,9068448
2022-05-09,2574.95,2597.1,2507.0,2518.3,8345649
2022-05-10,2495.0,2526.6,2458.0,2474.65,9004636
2022-05-11,2472.65,2484.95,2421.95,2449.3,7681157
2022-05-12,2427.5,2434.85,2370.0,2399.4,9456280
2022-05-13,2426.0,2478.0,2415.35,2426.6,8910998
2022-05-16,2434.45,2481.0,2416.65,2427.2,6201594
2022-05-17,2435.1,2539.9,2432.0,2529.15,7638666
2022-05-18,2539.65,2570.0,2508.25,2538.35,7973235
2022-05-19,2484.0,2512.5,2466.05,2479.85,6783641
2022-05-20,2512.5,2644.4,2502.0,2624.45,10057508
2022-05-23,2631.5,2653.55,2593.0,2606.9,7039144
2022-05-24,2607.0,2638.0,2597.7,2615.85,6243086
2022-05-25,2635.0,2656.7,2601.5,2612.0,5867760
2022-05-26,2624.4,2634.9,2548.0,2587.1,8252551
2022-05-27,2593.05,2605.15,2540.1,2575.1,7624888
2022-05-30,2615.0,2674.0,2594.2,2664.8,6393341
