date,open,high,low,close,volume
2023-04-03,1089.95,1099.25,1088.0,1098.15,1540702
2023-04-05,1085.35,1113.0,1066.15,1111.2,3342291
2023-04-06,1109.05,1109.05,1085.45,1091.85,2378264
2023-04-10,1091.85,1105.0,1091.5,1103.1,711625
2023-04-11,1104.0,1109.9,1085.0,1087.0,2318905
2023-04-12,1092.0,1097.45,1080.1,1094.5,2715967
2023-04-13,1089.0,1089.0,1063.0,1071.85,3071057
2023-04-17,1055.0,1055.0,1016.25,1042.2,9509446
2023-04-18,1049.55,1066.4,1045.2,1063.85,3686404
2023-04-19,1073.95,1073.95,1036.45,1038.7,4322881
2023-04-20,1040.0,1047.2,1031.85,1037.5,3057560
2023-04-21,1054.0,1074.0,1037.75,1048.95,7708194
2023-04-24,1057.0,1058.9,1046.0,1054.05,2033625
2023-04-25,1050.45,1058.8,1044.4,1053.45,1237595
2023-04-26,1055.0,1067.0,1048.0,1065.55,1647101
2023-04-27,1065.55,1075.0,1061.0,1071.25,1654910
2023-04-28,1059.95,1068.75,1053.75,1064.1,2629188
2023-05-02,1064.1,1074.8,1064.0,1067.55,1905168
2023-05-03,1062.0,1064.0,1055.0,1058.95,1649820
2023-05-04,1056.05,1067.95,1048.3,1066.8,1403672
2023-05-05,1066.8,1069.95,1052.1,1055.55,1641673
2023-05-08,1058.0,1077.5,1055.0,1075.75,1389075
2023-05-09,1071.0,1082.6,1066.05,1079.0,2981949
2023-05-10,1084.15,1088.8,1072.1,1078.3,2091411
2023-05-11,1082.15,1092.6,1080.05,1088.1,2653108
2023-05-12,1086.0,1103.4,1077.45,1095.5,1585037
2023-05-15,1098.95,1105.95,1092.8,1099.75,1523466
2023-05-16,1100.2,1105.3,1088.1,1090.7,1166324
2023-05-17,1090.5,1093.95,1062.7,1074.55,3602382
2023-05-18,1081.95,1085.0,1073.0,1079.9,1515743
2023-05-19,1088.6,1104.0,1082.45,1095.35,1984436
2023-05-22,1095.35,1121.9,1088.95,1119.85,1864932
2023-05-23,1120.0,1131.35,1104.0,1107.35,2138096
2023-05-24,1099.05,1115.0,1098.0,1111.95,1302744
2023-05-25,1109.2,1118.25,1103.05,1116.0,1124803
2023-05-26,1115.0,1140.35,1114.0,1139.2,1635167
2023-05-29,1146.0,1147.95,1124.4,1126.2,1288914
2023-05-30,1129.0,1144.0,1128.05,1135.85,1983735
2023-05-31,1134.8,1153.35,1132.1,1145.1,5967930
2023-06-01,1148.0,1155.15,1137.65,1141.9,1445692
2023-06-02,1148.0,1151.1,1131.6,1137.05,1336554
2023-06-05,1144.0,1148.5,1136.0,1138.3,1435758
2023-06-06,1130.0,1132.3,1113.75,1128.6,1943605
2023-06-07,1133.8,1133.8,1116.2,1129.05,2459039
2023-06-08,1129.05,1131.25,1118.3,1126.75,1385218
2023-06-09,1129.1,1131.0,1105.95,1109.75,1824218
2023-06-12,1112.95,1140.95,1111.5,1139.65,1670970
2023-06-13,1144.95,1144.95,1129.3,1131.3,2014656
2023-06-14,1138.0,1138.4,1126.05,1135.85,836964
2023-06-15,1140.0,1147.0,1136.55,1143.6,2109652
2023-06-16,1150.0,1154.25,1132.45,1148.2,2909817
2023-06-19,1148.2,1153.9,1135.45,1137.55,1278608
2023-06-20,1133.0,1170.75,1132.5,1168.65,3504867
2023-06-21,1175.0,1175.7,1161.65,1170.45,2019683
2023-06-22,1170.15,1170.45,1158.85,1163.4,972005
2023-06-23,1161.9,1170.55,1151.0,1165.15,1699790
2023-06-26,1167.25,1175.95,1163.05,1167.5,1190307
2023-06-27,1167.0,1174.45,1160.2,1170.0,1504039
2023-06-28,1173.45,1173.95,1166.5,1170.25,1424076
2023-06-30,1170.35,1194.0,1165.0,1187.95,3036648
2023-07-03,1190.0,1195.0,1174.5,1181.6,1749952
2023-07-04,1182.0,1193.0,1178.55,1190.6,1094468
2023-07-05,1194.0,1202.6,1187.6,1194.8,1653610
2023-07-06,1194.8,1198.0,1174.95,1180.65,2334220
2023-07-07,1178.15,1182.95,1153.8,1157.6,2159585
2023-07-10,1160.0,1161.9,1120.0,1124.5,3960400
2023-07-11,1131.75,1131.75,1112.0,1114.9,4982603
2023-07-12,1119.7,1124.5,1102.45,1110.55,3824027
2023-07-13,1100.0,1124.4,1087.05,1108.8,12294227
2023-07-14,1114.2,1157.1,1111.55,1150.95,6605038
2023-07-17,1151.95,1172.0,1143.65,1153.75,3159479
2023-07-18,1158.95,1170.0,1146.4,1167.2,2431478
2023-07-19,1165.0,1174.9,1157.0,1169.05,2242397
2023-07-20,1160.0,1162.8,1148.0,1155.8,1990001
2023-07-21,1110.0,1139.9,1095.0,1115.45,5259150
2023-07-24,1120.0,1127.7,1111.0,1112.9,2672505
2023-07-25,1118.5,1119.0,1105.1,1111.55,2506726
2023-07-26,1110.2,1120.85,1110.1,1115.0,1969964
2023-07-27,1115.0,1122.7,1108.95,1117.35,1769815
2023-07-28,1114.05,1118.5,1097.45,1103.55,2031899
2023-07-31,1108.0,1119.5,1096.0,1116.7,2526624
2023-08-01,1120.0,1142.0,1111.9,1138.5,2710536
2023-08-02,1137.0,1137.0,1121.5,1130.9,2701150
2023-08-03,1126.0,1135.55,1115.05,1125.5,1608187
2023-08-04,1130.45,1152.35,1126.0,1144.35,3315303
2023-08-07,1154.55,1155.75,1143.15,1150.8,1655404
2023-08-08,1154.9,1156.9,1137.0,1141.35,1667697
2023-08-09,1140.95,1146.0,1125.0,1144.15,1559337
2023-08-10,1140.0,1144.8,1128.65,1134.3,1676669
2023-08-11,1160.0,1186.95,1154.3,1171.45,7391806
2023-08-14,1170.65,1177.0,1154.0,1171.0,1720940
2023-08-16,1175.75,1186.25,1170.1,1177.15,2567226
2023-08-17,1176.85,1180.95,1163.95,1176.7,2331256
2023-08-18,1173.0,1177.85,1158.65,1173.7,3406088
2023-08-21,1172.95,1188.9,1168.95,1179.25,1661946
2023-08-22,1182.0,1187.0,1176.15,1179.5,1805887
2023-08-23,1192.95,1195.0,1178.65,1182.5,2347850
2023-08-24,1188.95,1189.0,1169.0,1171.25,2464221
2023-08-25,1165.0,1170.8,1150.0,1153.95,2105159
2023-08-28,1155.0,1159.7,1139.3,1146.45,2571967
2023-08-29,1153.9,1163.3,1148.3,1157.55,1794652
2023-08-30,1166.0,1175.15,1161.65,1170.5,1497356
2023-08-31,1179.5,1188.1,1165.9,1172.15,4483967
