date,open,high,low,close,volume
2023-04-03,2627.4,2634.8,2610.15,2628.95,4481415
2023-04-05,2615.5,2710.05,2615.5,2705.95,5890726
2023-04-06,2700.0,2734.8,2691.05,2729.3,5286740
2023-04-10,2725.0,2748.15,2714.85,2727.75,3000562
2023-04-11,2729.0,2747.0,2716.85,2742.0,5030066
2023-04-12,2750.0,2774.4,2743.0,2769.25,2508834
2023-04-13,2770.0,2791.95,2765.15,2786.85,5191333
2023-04-17,2827.95,2827.95,2718.6,2742.05,4953106
2023-04-18,2751.0,2754.7,2718.6,2723.7,5850769
2023-04-19,2734.0,2748.7,2725.6,2744.8,1756973
2023-04-20,2744.7,2756.55,2730.55,2743.0,2501893
2023-04-21,2735.5,2763.55,2735.4,2759.4,1719725
2023-04-24,2769.95,2791.2,2759.85,2787.55,2797335
2023-04-25,2782.0,2792.0,2749.25,2757.0,4575039
2023-04-26,2751.3,2767.3,2741.0,2761.45,2247289
2023-04-27,2752.6,2781.0,2749.25,2772.9,3347433
2023-04-28,2772.0,2780.85,2753.6,2775.6,4660013
2023-05-02,2791.5,2804.0,2776.2,2790.0,5377606
2023-05-03,2780.0,2793.8,2770.65,2787.75,1990165
2023-05-04,2785.0,2867.0,2779.95,2862.05,4703010
2023-05-05,2719.0,2758.0,2697.0,2702.3,8824448
2023-05-08,2713.0,2744.8,2710.2,2735.6,5921220
2023-05-09,2743.0,2767.0,2736.85,2750.05,5048926
2023-05-10,2749.0,2755.65,2733.5,2752.65,1920538
2023-05-11,2766.5,2776.15,2753.65,2767.15,2282579
2023-05-12,2754.65,2785.55,2750.0,2776.3,2634023
2023-05-15,2779.0,2796.0,2771.15,2784.35,3373596
2023-05-16,2759.0,2764.85,2715.0,2722.65,4677862
2023-05-17,2727.0,2727.0,2688.2,2706.15,2622477
2023-05-18,2715.4,2732.35,2707.1,2716.0,2144878
2023-05-19,2731.7,2731.7,2693.6,2710.95,2303627
2023-05-22,2709.5,2720.95,2693.1,2704.75,1933631
2023-05-23,2717.0,2718.65,2698.35,2705.85,4402201
2023-05-24,2687.05,2704.65,2665.0,2671.75,2687610
2023-05-25,2664.8,2669.95,2633.6,2647.4,4693122
2023-05-26,2643.6,2657.95,2631.05,2650.6,6244230
2023-05-29,2682.0,2700.0,2674.6,2690.55,3030616
2023-05-30,2685.2,2702.9,2672.6,2693.35,4054695
2023-05-31,2678.0,2685.4,2637.1,2640.4,17183308
2023-06-01,2670.0,2670.0,2638.8,2646.7,3666667
2023-06-02,2651.5,2655.0,2634.55,2645.9,4065864
2023-06-05,2658.0,2661.9,2642.0,2644.8,4714971
2023-06-06,2645.95,2649.0,2624.85,2635.35,4846536
2023-06-07,2642.75,2655.0,2631.6,2648.55,2694134
2023-06-08,2636.1,2678.0,2636.1,2653.8,2072748
2023-06-09,2664.0,2667.9,2646.85,2652.9,4348281
2023-06-12,2660.0,2664.0,2638.8,2640.8,3275459
2023-06-13,2636.75,2654.8,2634.9,2645.9,5516136
2023-06-14,2651.0,2656.0,2640.8,2645.85,4681618
2023-06-15,2647.75,2652.15,2618.0,2620.15,3498981
2023-06-16,2630.0,2664.0,2626.05,2650.45,11656470
2023-06-19,2664.05,2669.0,2647.15,2654.8,5187085
2023-06-20,2653.95,2663.0,2631.4,2658.55,5495069
2023-06-21,2670.1,2704.9,2665.0,2702.0,4486501
2023-06-22,2714.2,2738.95,2708.55,2715.9,6037525
2023-06-23,2701.15,2742.7,2700.55,2723.15,3089041
2023-06-26,2720.0,2728.7,2703.2,2720.3,4168966
2023-06-27,2734.0,2781.55,2721.85,2761.85,8246786
2023-06-28,2782.85,2785.0,2761.0,2779.0,6777176
2023-06-30,2810.0,2830.0,2784.0,2821.95,6981604
2023-07-03,2844.95,2927.4,2841.15,2871.35,7011452
2023-07-04,2875.5,2916.05,2862.75,2884.85,6645450
2023-07-05,2866.0,2866.0,2783.25,2796.15,4747021
2023-07-06,2795.2,2816.5,2772.15,2795.9,4800608
2023-07-07,2775.0,2795.0,2763.0,2769.45,1895901
2023-07-10,2770.0,2799.2,2752.0,2765.45,6075158
2023-07-11,2770.0,2794.8,2742.35,2747.35,8570071
2023-07-12,2755.8,2777.65,2710.6,2724.3,42367376
