Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2023,28379.75,28741.6,28277,28698.6,22629058,3466.72
29-MAR-2023,27777.95,28113.95,27639.65,28011.3,23466657,3422.42
28-MAR-2023,27998.3,28090.75,27674.7,27702.75,19021218,2563.88
27-MAR-2023,27985.65,28193.6,27818.25,27948.7,13384843,2028.75
24-MAR-2023,28208.35,28453.85,27869.5,27935.65,19376461,2800.19
23-MAR-2023,28065.8,28116.45,27843.25,27999.25,19331444,2694.31
22-MAR-2023,28375.9,28549,28148.4,28217.6,17145907,2554.69
21-MAR-2023,28455.65,28552,28124.25,28164.85,21587819,3137.06
20-MAR-2023,28732.85,28744.3,28209.05,28442.95,22355426,3243.36
17-MAR-2023,28737.7,29120.75,28721.1,28854.45,31796160,5723.28
16-MAR-2023,28694.3,28746.35,28400.35,28517.25,18818507,2811.52
15-MAR-2023,29080.35,29179.5,28689.4,28716.5,19125796,2893.94
14-MAR-2023,29281.25,29402.25,28638.9,28784.7,25456296,4111.87
13-MAR-2023,29695,30051.6,29187.1,29267,31228396,4361.96
10-MAR-2023,29418.6,29584.45,29324,29545.5,11299706,1888.43
09-MAR-2023,30090.25,30096.6,29712,29742.3,14009458,2185.85
08-MAR-2023,29944.2,30096.7,29729.25,30065.7,14977044,2351.66
06-MAR-2023,30048.7,30340.95,30032.05,30179.75,18992841,2850.11
03-MAR-2023,29968.75,29988.55,29774.05,29817.05,14847925,2258.81
02-MAR-2023,29883.1,29936.4,29618.6,29717.45,15778513,2450.77
01-MAR-2023,29722.15,30121.65,29712.8,30097.75,14064343,2335.39
28-FEB-2023,29986.2,30294.45,29608.95,29663.95,46224987,6529.15
27-FEB-2023,30338.7,30345.5,29667.1,29919.2,15675968,2602.45
24-FEB-2023,30732.45,30859.7,30445.9,30514.9,11334522,1844.27
23-FEB-2023,30759.6,30899.4,30497.55,30598.35,15708075,2601.27
22-FEB-2023,30621.1,30815.9,30503.35,30608.2,14861595,2347.71
21-FEB-2023,31318.35,31393,30911.05,30947.25,13376367,2227.89
20-FEB-2023,31056.05,31405.3,30961.95,31222.35,15922955,2822.01
17-FEB-2023,31147.1,31218.25,30963.05,31054.85,15798873,2431.72
16-FEB-2023,31042.3,31587.35,31024.15,31434.85,32193911,4875.14
15-FEB-2023,30512,30959.3,30324.2,30934.35,17291570,2629.52
14-FEB-2023,30481.5,30759.45,30457.4,30588.75,16946938,2790.12
13-FEB-2023,30790.2,30792.85,30238.05,30289.65,20440639,5234.12
10-FEB-2023,30839.25,30900.15,30636.4,30870.2,13827857,2156.11
