"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Mar-2023","EQ","3,189.95","3,213.00","3,152.00","3,138.90","3,204.00","3,205.90","3,189.41","3,835.60","2,926.10","23,82,581","7,59,90,29,056.20","1,24,442"
"29-Mar-2023","EQ","3,129.00","3,150.00","3,104.10","3,115.90","3,148.00","3,138.90","3,125.35","3,835.60","2,926.10","17,40,616","5,44,00,31,709.60","1,13,706"
"28-Mar-2023","EQ","3,127.00","3,149.55","3,110.15","3,122.30","3,117.00","3,115.90","3,129.98","3,835.60","2,926.10","13,03,530","4,08,00,26,205.95","75,814"
"27-Mar-2023","EQ","3,135.00","3,152.75","3,106.00","3,120.50","3,124.00","3,122.30","3,134.00","3,835.60","2,926.10","15,24,217","4,77,68,89,691.90","87,684"
"24-Mar-2023","EQ","3,148.90","3,170.00","3,106.00","3,124.65","3,110.15","3,120.50","3,144.39","3,835.60","2,926.10","13,29,577","4,18,07,07,274.55","99,584"
"23-Mar-2023","EQ","3,114.90","3,146.35","3,101.00","3,130.80","3,130.95","3,124.65","3,128.36","3,835.60","2,926.10","13,72,218","4,29,27,96,106.40","94,843"
"22-Mar-2023","EQ","3,130.05","3,143.50","3,106.10","3,106.10","3,129.80","3,130.80","3,124.38","3,835.60","2,926.10","11,23,939","3,51,16,07,192.25","85,984"
"21-Mar-2023","EQ","3,143.30","3,156.75","3,097.45","3,143.30","3,111.00","3,106.10","3,117.90","3,835.60","2,926.10","18,15,297","5,65,99,09,677.90","1,16,265"
"20-Mar-2023","EQ","3,169.65","3,169.65","3,095.05","3,179.30","3,146.00","3,143.30","3,125.39","3,835.60","2,926.10","22,89,468","7,15,54,78,256.10","1,86,340"
"17-Mar-2023","EQ","3,150.50","3,221.40","3,144.00","3,185.00","3,175.00","3,179.30","3,178.88","3,835.60","2,926.10","67,39,966","21,42,55,39,933.40","2,85,153"
"16-Mar-2023","EQ","3,208.00","3,219.80","3,172.00","3,198.90","3,182.00","3,185.00","3,193.73","3,835.60","2,926.10","19,01,060","6,07,14,80,261.75","1,70,243"
"15-Mar-2023","EQ","3,250.00","3,260.35","3,192.00","3,214.95","3,199.00","3,198.90","3,225.94","3,835.60","2,926.10","17,80,522","5,74,38,51,297.00","1,65,162"
"14-Mar-2023","EQ","3,280.00","3,304.40","3,209.40","3,281.95","3,221.70","3,214.95","3,244.96","3,835.60","2,926.10","26,70,334","8,66,51,16,216.45","1,51,178"
"13-Mar-2023","EQ","3,333.00","3,369.80","3,272.00","3,331.00","3,286.25","3,281.95","3,313.09","3,835.60","2,926.10","19,01,233","6,29,89,47,595.45","1,20,533"
"10-Mar-2023","EQ","3,312.90","3,337.25","3,290.00","3,336.85","3,335.85","3,331.00","3,318.60","3,835.60","2,926.10","10,24,404","3,39,95,83,381.80","99,387"
"09-Mar-2023","EQ","3,385.00","3,385.00","3,330.85","3,390.40","3,333.00","3,336.85","3,354.42","3,835.60","2,926.10","16,48,500","5,52,97,57,339.95","1,08,315"
"08-Mar-2023","EQ","3,364.00","3,396.00","3,330.85","3,371.85","3,390.05","3,390.40","3,369.80","3,835.60","2,926.10","18,44,590","6,21,58,92,592.95","1,29,008"
"06-Mar-2023","EQ","3,361.90","3,404.95","3,359.00","3,342.15","3,377.95","3,371.85","3,381.71","3,835.60","2,926.10","13,34,132","4,51,16,50,997.55","1,19,719"
"03-Mar-2023","EQ","3,354.00","3,358.00","3,331.10","3,321.45","3,340.00","3,342.15","3,345.34","3,835.60","2,926.10","10,43,190","3,48,98,22,005.55","89,004"
"02-Mar-2023","EQ","3,361.00","3,369.90","3,318.00","3,385.70","3,324.00","3,321.45","3,331.05","3,835.60","2,926.10","15,56,538","5,18,48,99,943.55","1,12,065"
"01-Mar-2023","EQ","3,323.00","3,389.00","3,315.00","3,312.85","3,386.45","3,385.70","3,367.54","3,835.60","2,926.10","16,69,307","5,62,14,65,689.90","1,05,561"
"28-Feb-2023","EQ","3,328.50","3,392.00","3,299.90","3,331.85","3,328.60","3,312.85","3,325.11","3,835.60","2,926.10","41,16,217","13,68,68,79,251.55","1,47,643"
"27-Feb-2023","EQ","3,390.00","3,390.00","3,316.00","3,400.45","3,335.00","3,331.85","3,336.69","3,835.60","2,926.10","11,28,022","3,76,38,60,179.90","88,957"
"24-Feb-2023","EQ","3,422.50","3,433.95","3,382.30","3,413.80","3,390.00","3,400.45","3,410.96","3,835.60","2,926.10","9,77,592","3,33,45,25,092.15","79,457"
"23-Feb-2023","EQ","3,421.00","3,452.40","3,408.00","3,401.55","3,412.90","3,413.80","3,428.53","3,835.60","2,926.10","14,41,570","4,94,24,64,245.25","1,35,484"
"22-Feb-2023","EQ","3,414.95","3,447.00","3,395.00","3,451.00","3,410.00","3,401.55","3,416.58","3,835.60","2,926.10","12,18,430","4,16,28,58,172.00","1,04,357"
"21-Feb-2023","EQ","3,494.00","3,508.90","3,444.75","3,487.30","3,451.00","3,451.00","3,473.05","3,835.60","2,926.10","11,39,541","3,95,76,87,705.45","77,929"
"20-Feb-2023","EQ","3,502.00","3,522.00","3,475.05","3,501.15","3,492.00","3,487.30","3,492.93","3,835.60","2,926.10","12,96,082","4,52,71,27,582.25","79,179"
"17-Feb-2023","EQ","3,526.15","3,538.90","3,490.00","3,558.05","3,499.20","3,501.15","3,514.92","3,854.10","2,926.10","10,61,369","3,73,06,23,740.00","90,867"
"16-Feb-2023","EQ","3,527.20","3,575.00","3,527.00","3,520.65","3,550.00","3,558.05","3,559.64","3,854.10","2,926.10","16,18,931","5,76,28,16,021.75","1,10,390"
"15-Feb-2023","EQ","3,487.00","3,526.00","3,460.15","3,500.10","3,523.95","3,520.65","3,496.10","3,854.10","2,926.10","14,29,449","4,99,75,03,619.80","76,223"
"14-Feb-2023","EQ","3,505.00","3,524.85","3,495.00","3,482.40","3,500.00","3,500.10","3,511.80","3,854.10","2,926.10","15,79,818","5,54,80,05,902.75","1,03,413"
"13-Feb-2023","EQ","3,549.00","3,549.00","3,473.40","3,537.55","3,484.00","3,482.40","3,493.53","3,854.10","2,926.10","10,87,939","3,80,07,42,542.70","77,431"
"10-Feb-2023","EQ","3,520.00","3,542.35","3,508.15","3,540.85","3,528.15","3,537.55","3,530.08","3,854.10","2,926.10","11,87,821","4,19,31,01,279.60","84,631"
"09-Feb-2023","EQ","3,515.00","3,547.60","3,505.30","3,520.10","3,543.95","3,540.85","3,534.02","3,854.10","2,926.10","16,55,427","5,85,03,14,027.30","1,09,544"
"08-Feb-2023","EQ","3,478.05","3,539.90","3,478.05","3,472.55","3,520.00","3,520.10","3,525.10","3,854.10","2,926.10","19,86,946","7,00,41,80,343.60","1,31,473"
"07-Feb-2023","EQ","3,468.90","3,493.00","3,461.40","3,459.95","3,467.00","3,472.55","3,478.55","3,854.10","2,926.10","14,55,647","5,06,35,43,516.10","76,997"
"06-Feb-2023","EQ","3,473.15","3,473.15","3,436.85","3,482.30","3,464.90","3,459.95","3,457.05","3,854.10","2,926.10","11,38,714","3,93,65,96,844.85","1,04,578"
