"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2024","EQ","1,549.00","1,561.05","1,531.00","1,546.20","1,547.05","1,543.55","1,543.54","1,697.35","1,016.25","53,01,493","8,18,30,48,059.05","2,02,835"
"27-Mar-2024","EQ","1,569.00","1,576.85","1,540.00","1,562.25","1,549.00","1,546.20","1,561.15","1,697.35","1,016.25","25,89,697","4,04,29,03,387.80","1,69,182"
"26-Mar-2024","EQ","1,562.25","1,592.55","1,555.55","1,557.85","1,563.00","1,562.25","1,563.70","1,697.35","1,016.25","44,96,344","7,03,09,27,961.05","2,29,783"
"22-Mar-2024","EQ","1,560.00","1,571.45","1,508.20","1,595.80","1,556.80","1,557.85","1,541.30","1,697.35","1,016.25","74,68,824","11,51,17,08,198.65","3,25,010"
"21-Mar-2024","EQ","1,608.00","1,619.95","1,583.35","1,587.10","1,600.00","1,595.80","1,600.05","1,697.35","1,016.25","26,84,744","4,29,57,31,267.05","1,82,199"
"20-Mar-2024","EQ","1,604.75","1,619.10","1,578.10","1,599.15","1,592.00","1,587.10","1,594.53","1,697.35","1,016.25","18,15,178","2,89,43,54,711.65","99,156"
"19-Mar-2024","EQ","1,641.55","1,641.55","1,594.10","1,643.40","1,595.00","1,599.15","1,609.77","1,697.35","1,016.25","19,15,379","3,08,33,17,994.65","1,44,339"
"18-Mar-2024","EQ","1,649.90","1,663.30","1,634.25","1,647.30","1,645.90","1,643.40","1,652.20","1,697.35","1,016.25","11,83,544","1,95,54,47,026.20","1,01,674"
"15-Mar-2024","EQ","1,677.00","1,677.00","1,642.85","1,679.25","1,648.60","1,647.30","1,651.84","1,697.35","1,016.25","39,31,561","6,49,43,01,411.90","1,73,447"
"14-Mar-2024","EQ","1,634.00","1,683.00","1,610.00","1,631.50","1,677.00","1,679.25","1,659.36","1,697.35","1,016.25","35,13,306","5,82,98,25,101.40","1,84,961"
"13-Mar-2024","EQ","1,638.75","1,651.25","1,610.35","1,635.60","1,624.50","1,631.50","1,628.02","1,697.35","1,016.25","25,64,135","4,17,44,73,316.25","1,24,965"
"12-Mar-2024","EQ","1,635.90","1,665.00","1,633.05","1,638.65","1,635.00","1,635.60","1,643.09","1,697.35","1,016.25","24,14,182","3,96,67,29,545.20","1,49,058"
"11-Mar-2024","EQ","1,655.00","1,659.80","1,632.05","1,637.65","1,636.00","1,638.65","1,645.94","1,697.35","1,016.25","29,70,902","4,88,99,16,154.00","1,84,547"
"07-Mar-2024","EQ","1,650.00","1,654.55","1,630.10","1,644.20","1,635.70","1,637.65","1,641.58","1,697.35","1,016.25","31,81,239","5,22,22,70,233.90","1,42,521"
"06-Mar-2024","EQ","1,613.00","1,650.00","1,603.85","1,619.35","1,648.00","1,644.20","1,627.97","1,697.35","1,016.25","23,66,177","3,85,20,64,887.40","1,34,024"
"05-Mar-2024","EQ","1,624.00","1,629.95","1,607.05","1,637.95","1,617.40","1,619.35","1,618.46","1,697.35","1,016.25","33,39,546","5,40,49,05,305.80","1,44,790"
"04-Mar-2024","EQ","1,649.00","1,654.00","1,635.00","1,646.30","1,638.25","1,637.95","1,641.46","1,697.35","1,016.25","17,88,071","2,93,50,44,078.75","93,583"
"02-Mar-2024","EQ","1,656.00","1,663.00","1,643.00","1,644.10","1,648.50","1,646.30","1,649.19","1,697.35","1,016.25","74,513","12,28,86,202.20","5,146"
"01-Mar-2024","EQ","1,675.45","1,679.20","1,639.10","1,663.85","1,646.45","1,644.10","1,652.98","1,697.35","1,016.25","23,71,138","3,91,94,46,154.00","1,11,352"
"29-Feb-2024","EQ","1,642.15","1,677.75","1,636.65","1,651.90","1,673.00","1,663.85","1,661.14","1,697.35","1,016.25","35,32,888","5,86,86,09,557.55","1,12,176"
"28-Feb-2024","EQ","1,664.70","1,672.00","1,644.20","1,658.80","1,648.00","1,651.90","1,654.30","1,697.35","1,016.25","9,36,575","1,54,93,78,100.35","78,192"
"27-Feb-2024","EQ","1,649.00","1,673.40","1,648.00","1,649.80","1,659.25","1,658.80","1,662.60","1,697.35","1,016.25","20,49,420","3,40,73,69,533.90","1,31,877"
"26-Feb-2024","EQ","1,665.75","1,668.85","1,639.50","1,665.75","1,646.90","1,649.80","1,649.49","1,697.35","1,016.25","18,44,253","3,04,20,81,195.60","94,604"
"23-Feb-2024","EQ","1,697.00","1,697.35","1,663.45","1,686.40","1,664.40","1,665.75","1,678.55","1,697.35","1,016.25","21,91,549","3,67,86,25,919.60","1,13,363"
"22-Feb-2024","EQ","1,644.00","1,691.40","1,639.00","1,636.30","1,683.00","1,686.40","1,669.63","1,696.50","1,016.25","38,20,901","6,37,94,89,693.50","1,95,419"
"21-Feb-2024","EQ","1,655.55","1,664.80","1,632.05","1,663.05","1,635.50","1,636.30","1,644.06","1,696.50","1,016.25","28,90,991","4,75,29,54,051.40","1,63,085"
"20-Feb-2024","EQ","1,661.00","1,672.75","1,645.00","1,675.25","1,662.80","1,663.05","1,657.11","1,696.50","1,016.25","22,40,414","3,71,26,16,181.80","1,88,797"
"19-Feb-2024","EQ","1,670.00","1,682.95","1,659.65","1,667.45","1,675.00","1,675.25","1,674.03","1,696.50","1,016.25","7,62,624","1,27,66,54,232.60","53,067"
"16-Feb-2024","EQ","1,675.00","1,677.00","1,650.05","1,662.55","1,670.00","1,667.45","1,665.90","1,696.50","1,016.25","17,76,881","2,96,01,10,318.50","1,11,680"
"15-Feb-2024","EQ","1,678.00","1,696.50","1,650.10","1,671.50","1,665.00","1,662.55","1,666.16","1,696.50","1,016.25","25,55,162","4,25,72,99,951.30","1,48,684"
"14-Feb-2024","EQ","1,649.75","1,676.90","1,625.45","1,665.60","1,666.00","1,671.50","1,653.78","1,685.00","1,016.25","13,86,643","2,29,31,97,365.15","1,05,498"
"13-Feb-2024","EQ","1,675.00","1,675.00","1,648.60","1,666.95","1,665.50","1,665.60","1,660.27","1,685.00","1,016.25","31,29,897","5,19,64,81,115.30","1,41,353"
"12-Feb-2024","EQ","1,639.00","1,685.00","1,639.00","1,630.60","1,659.40","1,666.95","1,667.07","1,685.00","1,016.25","48,85,445","8,14,43,67,155.00","1,50,456"
"09-Feb-2024","EQ","1,640.00","1,646.75","1,614.65","1,633.80","1,624.90","1,630.60","1,628.00","1,647.70","1,016.25","33,41,297","5,43,96,29,745.60","1,25,491"
"08-Feb-2024","EQ","1,626.00","1,647.70","1,617.30","1,615.35","1,634.55","1,633.80","1,634.12","1,647.70","1,016.25","34,96,692","5,71,40,26,846.20","1,90,396"
"07-Feb-2024","EQ","1,628.00","1,629.90","1,598.95","1,623.75","1,614.95","1,615.35","1,616.19","1,629.90","1,016.25","33,20,199","5,36,60,75,378.65","1,57,339"
"06-Feb-2024","EQ","1,566.00","1,627.00","1,558.05","1,555.35","1,623.80","1,623.75","1,601.09","1,627.00","1,016.25","49,88,311","7,98,67,29,089.30","1,52,291"
"05-Feb-2024","EQ","1,584.95","1,588.50","1,551.45","1,583.75","1,555.10","1,555.35","1,572.02","1,619.60","1,016.25","14,52,864","2,28,39,26,744.95","84,055"
"02-Feb-2024","EQ","1,584.80","1,613.90","1,575.00","1,577.40","1,583.90","1,583.75","1,591.79","1,619.60","1,016.25","23,37,374","3,72,05,98,643.55","1,52,348"
"01-Feb-2024","EQ","1,576.00","1,597.00","1,566.35","1,576.00","1,578.00","1,577.40","1,578.89","1,619.60","1,016.25","28,45,408","4,49,25,83,650.50","1,43,248"
"31-Jan-2024","EQ","1,559.30","1,581.30","1,546.35","1,559.30","1,570.80","1,576.00","1,559.28","1,619.60","1,016.25","70,25,931","10,95,53,86,297.95","1,59,792"
"30-Jan-2024","EQ","1,580.00","1,592.45","1,555.00","1,574.55","1,559.80","1,559.30","1,575.56","1,619.60","1,016.25","19,39,386","3,05,56,16,775.50","92,025"
"29-Jan-2024","EQ","1,565.00","1,588.60","1,550.25","1,550.25","1,575.00","1,574.55","1,573.51","1,619.60","1,016.25","25,21,598","3,96,77,55,881.60","96,974"
"25-Jan-2024","EQ","1,570.00","1,570.00","1,536.75","1,576.40","1,549.50","1,550.25","1,548.19","1,619.60","1,016.25","26,41,656","4,08,97,83,921.05","1,60,140"
"24-Jan-2024","EQ","1,530.10","1,581.20","1,523.70","1,523.65","1,576.75","1,576.40","1,553.01","1,619.60","1,016.25","21,36,023","3,31,72,65,702.65","1,08,065"
"23-Jan-2024","EQ","1,558.90","1,567.90","1,517.05","1,544.00","1,522.00","1,523.65","1,542.66","1,619.60","1,016.25","31,96,630","4,93,13,05,852.55","1,85,210"
"20-Jan-2024","EQ","1,580.00","1,580.00","1,537.05","1,567.95","1,544.00","1,544.00","1,553.42","1,619.60","1,016.25","9,61,332","1,49,33,52,912.05","40,281"
"19-Jan-2024","EQ","1,570.00","1,590.00","1,558.05","1,567.55","1,570.50","1,567.95","1,570.57","1,619.60","1,016.25","23,74,099","3,72,86,87,187.75","1,42,271"
"18-Jan-2024","EQ","1,577.00","1,584.20","1,537.05","1,575.90","1,569.95","1,567.55","1,565.24","1,619.60","1,016.25","32,05,598","5,01,75,18,002.35","1,88,018"
"17-Jan-2024","EQ","1,520.00","1,585.00","1,516.55","1,555.45","1,572.95","1,575.90","1,567.32","1,619.60","1,016.25","38,46,289","6,02,83,80,135.15","1,90,637"
"16-Jan-2024","EQ","1,587.00","1,587.00","1,538.00","1,588.20","1,555.00","1,555.45","1,552.95","1,619.60","1,016.25","44,59,799","6,92,58,45,489.05","2,25,742"
"15-Jan-2024","EQ","1,610.00","1,619.60","1,575.50","1,540.80","1,588.00","1,588.20","1,591.97","1,619.60","1,016.25","97,12,071","15,46,12,78,232.30","2,67,395"
"12-Jan-2024","EQ","1,505.00","1,555.00","1,498.50","1,484.80","1,553.90","1,540.80","1,528.08","1,555.00","1,016.25","58,62,043","8,95,76,82,273.50","1,98,262"
"11-Jan-2024","EQ","1,500.00","1,500.00","1,474.00","1,492.10","1,486.00","1,484.80","1,485.37","1,509.90","1,016.25","22,71,368","3,37,38,22,859.30","1,23,255"
"10-Jan-2024","EQ","1,474.90","1,508.00","1,466.05","1,460.40","1,490.00","1,492.10","1,489.22","1,509.90","1,016.25","43,68,914","6,50,62,83,463.80","1,86,456"
"09-Jan-2024","EQ","1,460.60","1,480.95","1,452.35","1,447.90","1,468.75","1,460.40","1,466.87","1,509.90","1,016.25","31,19,270","4,57,55,63,612.90","1,21,184"
"08-Jan-2024","EQ","1,435.00","1,452.60","1,430.55","1,432.80","1,439.90","1,447.90","1,444.18","1,509.90","1,016.25","20,25,264","2,92,48,45,473.25","1,17,018"
"05-Jan-2024","EQ","1,425.00","1,438.85","1,421.90","1,419.95","1,434.95","1,432.80","1,431.99","1,509.90","1,016.25","17,76,925","2,54,45,39,928.15","1,37,999"
"04-Jan-2024","EQ","1,437.00","1,444.80","1,417.15","1,437.75","1,420.50","1,419.95","1,424.37","1,509.90","1,016.25","33,92,241","4,83,17,90,108.70","1,62,397"
"03-Jan-2024","EQ","1,460.00","1,465.00","1,435.50","1,469.55","1,438.00","1,437.75","1,443.14","1,509.90","1,016.25","16,51,716","2,38,36,57,451.05","1,18,608"
"02-Jan-2024","EQ","1,484.05","1,488.80","1,461.35","1,483.75","1,470.00","1,469.55","1,470.30","1,509.90","1,016.25","14,40,888","2,11,85,39,637.65","86,286"
