Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2024,46827.85,47440.45,46827.85,47124.6,347979603,13594.54
27-MAR-2024,46643.45,46956.1,46643.45,46785.95,285050400,16539.74
26-MAR-2024,46552.95,46788.35,46529.05,46600.2,171655734,11171.03
22-MAR-2024,46634.9,46974.15,46566.8,46863.75,172184807,10851.42
21-MAR-2024,46674.85,46990.25,46570.15,46684.9,150392246,8896.96
20-MAR-2024,46392.9,46655.55,45828.8,46310.9,210365443,11766.43
19-MAR-2024,46421.9,46602.35,46258.75,46384.8,147080034,8734.12
18-MAR-2024,46458.75,46739.25,46022.15,46575.9,151328904,6888.3
15-MAR-2024,46572.1,46802.55,46310.5,46594.1,339276817,26718.21
14-MAR-2024,46825.75,47231.5,46565.55,46789.95,220394655,11310.48
13-MAR-2024,47341.15,47468.7,46842.15,46981.3,274610911,14793.18
12-MAR-2024,47351.35,47812.75,46884.45,47282.4,207215490,13545.13
11-MAR-2024,47792.2,47853.8,47230.65,47327.85,204168522,10257.14
07-MAR-2024,48035.8,48071.7,47747.2,47835.8,146312130,8873.38
06-MAR-2024,47451.65,48161.25,47442.25,47965.4,301719696,14489.87
05-MAR-2024,47265.7,47737.85,47196.75,47581,176908608,8513.12
04-MAR-2024,47318.5,47529.6,47191.65,47456.1,158086247,7795.84
01-MAR-2024,46218,47342.25,46218,47286.9,172519003,8587.25
29-FEB-2024,45881.45,46329.65,45661.75,46120.9,544734727,16455.05
28-FEB-2024,46640.9,46754.55,45852.55,45963.15,167271103,6980.13
27-FEB-2024,46480.2,46722.25,46324.9,46588.05,157256037,7924.81
26-FEB-2024,46615.85,46893.15,46513.55,46576.5,223684075,8008.66
23-FEB-2024,47060.7,47245.35,46723.15,46811.75,200518213,8632.88
22-FEB-2024,46934.55,47024.05,46426.85,46919.8,177182875,11307.92
21-FEB-2024,47363.4,47363.4,46886.95,47019.7,198947007,11151.61
20-FEB-2024,46444.9,47136.75,46367.8,47094.2,171886069,10520.32
19-FEB-2024,46554.9,46717.4,46317.7,46535.5,158391356,8048.39
16-FEB-2024,46454.3,46693.4,46264.4,46384.85,291383103,10101.23
15-FEB-2024,46027.1,46297.7,45590.2,46218.9,277735723,11616.29
14-FEB-2024,45014.65,46170.45,44860.75,45908.3,279949703,16369.67
13-FEB-2024,45056.8,45750.4,44819.55,45502.4,245860544,12243.15
12-FEB-2024,45664.3,45748.5,44633.85,44882.25,268816417,10317.6
09-FEB-2024,44986.75,45718.15,44859.15,45634.55,275980366,13111.21
08-FEB-2024,45973.85,46181.2,44893.75,45012,319908560,17193.25
07-FEB-2024,45944.6,46062.85,45620.5,45818.5,283674776,13737.11
06-FEB-2024,45891.2,45932.15,45527,45690.8,178592534,9115.56
05-FEB-2024,45962.25,46048.6,45615.1,45825.55,265909716,11202.01
02-FEB-2024,46568.2,46892.35,45901.25,45970.95,337040622,12743.15
01-FEB-2024,46164.9,46306.9,45668.35,46188.65,305721773,10681.78
31-JAN-2024,45295.65,46179.75,45071.2,45996.8,373131629,16491.11
30-JAN-2024,45481.5,45678.7,45206.05,45367.75,232110117,10108.33
29-JAN-2024,45171.5,45660.35,45110.9,45442.35,336781672,14163.2
25-JAN-2024,45057.95,45139.05,44429,44866.15,386805113,19114.35
24-JAN-2024,44489.4,45485.5,44489.4,45082.4,348696634,17822.46
23-JAN-2024,46495.45,46580.3,44886.1,45015.05,422624502,23485.75
20-JAN-2024,45989.25,46183.7,45640.9,46058.2,157202694,7004.79
19-JAN-2024,46103.5,46249.85,45558.05,45701.15,296609385,17405.47
18-JAN-2024,45492.75,46184.05,45430.7,45713.55,275044049,19277.92
17-JAN-2024,46573.95,47212.75,45979.6,46064.45,499645242,29225.38
16-JAN-2024,48109.95,48305.4,48002.85,48125.1,224460146,8140.38
15-JAN-2024,47891.05,48248.05,47825.4,48158.3,167053734,8548.16
12-JAN-2024,47572.7,47873.7,47408.5,47709.8,191640544,7146.18
11-JAN-2024,47538.6,47662.1,47237,47438.35,132519875,5966.43
10-JAN-2024,47073.85,47423.45,47010.8,47360.85,165160645,6969.8
09-JAN-2024,47705.4,47939.3,47156.05,47242.65,160987383,7934.05
08-JAN-2024,48096.65,48154.5,47387.35,47450.25,231436501,9469.54
05-JAN-2024,48245.55,48381.95,47822.85,48159,180954626,9834.28
04-JAN-2024,47805.4,48281.2,47738.15,48195.85,175744981,9718.17
03-JAN-2024,47796.3,47798.75,47481.35,47704.95,233345158,9832.53
02-JAN-2024,48194.8,48223.55,47689.8,47761.65,183177683,8751.01
01-JAN-2024,48203.45,48450,48044.15,48234.3,146861652,4959.89
29-DEC-2023,48374.85,48477.7,48091.85,48292.25,173986713,7476.67
28-DEC-2023,48479.05,48636.45,48343.15,48508.55,391088458,14240.16
27-DEC-2023,47818.5,48347.65,47806.7,48282.2,184934337,7976.75
26-DEC-2023,47576.4,47838.45,47411.65,47724.85,118747478,6180.81
22-DEC-2023,47837.75,48071.4,47415.85,47491.85,165824495,10615.92
21-DEC-2023,47172.45,47932.4,46919.7,47840.15,207998676,10008.37
20-DEC-2023,48085.35,48166.15,47202.65,47445.3,242487993,10779.73
19-DEC-2023,47940.4,48017,47646.05,47870.9,189789200,7801.73
18-DEC-2023,48068.5,48076.6,47806.7,47867.7,157255424,6762.4
15-DEC-2023,47939.9,48219.95,47632.85,48143.55,313865426,20163.08
14-DEC-2023,47567.65,47943.6,47510.85,47732.3,193093079,9839.45
13-DEC-2023,47190.75,47201.95,46886.9,47092.25,202304718,8905.84
12-DEC-2023,47421.7,47454,47004.05,47097.55,181986087,8796.84
11-DEC-2023,47233.3,47588,47186.6,47314.25,182500023,7276.41
