Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,33771.45,34075,33481.45,33571.6,486985903,11188.6
27-MAR-2025,33130.75,33778.9,33060.1,33682.95,581026568,16662.86
26-MAR-2025,33600.05,33791.55,33165.3,33205.4,323143567,9358.09
25-MAR-2025,34123.8,34144.35,33418.95,33502.4,312430752,8482.63
24-MAR-2025,33849.25,34149.1,33760.2,33955,340807051,10096.64
21-MAR-2025,33047,33722.95,33011.05,33475.05,560733086,14936.43
20-MAR-2025,33013.15,33042.95,32580.35,33001.05,292830964,8128.8
19-MAR-2025,32277.45,32786.25,32216.1,32735.05,379842427,8910.57
18-MAR-2025,31857.85,32195.3,31727.1,32165.5,259610579,8650.47
17-MAR-2025,31560.6,31827.35,31503.6,31660.15,243557754,7043.96
13-MAR-2025,31738.8,31889.5,31448.1,31483,247386403,6892.51
12-MAR-2025,31638.1,31827.45,31158.35,31535.3,322661183,7362.52
11-MAR-2025,31023.9,31528.9,30847.8,31462.65,268799507,7078.17
10-MAR-2025,31788.45,32154.15,31214,31302.2,355841776,9732.45
07-MAR-2025,31723.35,32075.6,31599,31788.45,408873005,10585.49
06-MAR-2025,31431.8,31782.55,31249.9,31729.85,394527934,11987.14
05-MAR-2025,30248.35,31126.35,30246.75,31099.45,339147388,9365.63
04-MAR-2025,29623.3,30334.25,29406.6,30239.15,304186165,7347.88
03-MAR-2025,30091.9,30219.8,29313.2,30007.05,401275882,9028.42
28-FEB-2025,30511.5,30540.4,29863.25,30018.15,487594358,15217.14
27-FEB-2025,31017.2,31095.85,30478.05,30659.25,259229003,7429.97
25-FEB-2025,31222.8,31369.85,30921.9,31018.3,237248461,7578.56
24-FEB-2025,31251.95,31405.8,31049.05,31240.8,214758958,5702.67
21-FEB-2025,31721.65,32022.7,31441.5,31592,302434287,7515.87
20-FEB-2025,31072.75,31816.95,30992.05,31769.65,304461982,7971.47
19-FEB-2025,30620.2,31279.5,30487.35,31198.5,284182742,7499.85
18-FEB-2025,30763.25,30909.2,30300.5,30849.05,250773199,8403.27
17-FEB-2025,30401.35,30785.05,29892.35,30737.55,263909866,6895.01
14-FEB-2025,31389.1,31466.4,30265.55,30572.3,262388162,6631.85
13-FEB-2025,31378,31734.15,31213.55,31286.8,233930970,6322.74
12-FEB-2025,31369.45,31411.9,30485.8,31317.3,351855123,9494.16
11-FEB-2025,32156.65,32157.75,31217.7,31436.75,277279999,7306.01
10-FEB-2025,32778.45,32834.25,32023.25,32109.9,231736187,6205.01
07-FEB-2025,32978.75,33141.05,32613.9,32817.3,219131906,6082.98
06-FEB-2025,33492.4,33571.9,32893.05,33059.75,280819103,7995.13
05-FEB-2025,33115.15,33492.4,33097.7,33345.45,301191393,9822.98
04-FEB-2025,32479.85,32923,32393.2,32896.7,367309321,11483.66
03-FEB-2025,32882.05,32917.6,31884.15,32177.4,438493934,11072.89
01-FEB-2025,34028.05,34238.1,32874.75,33172.6,479365795,9307.94
31-JAN-2025,33139.2,33954.05,32958.8,33895.6,369307973,8877.22
30-JAN-2025,32824.35,33210.8,32760.3,33026.05,276806536,8612.7
29-JAN-2025,32086.35,32663,32073.7,32607.85,324315035,9514.38
28-JAN-2025,32499.1,32582.9,31511.7,31966.1,391109160,9904.64
27-JAN-2025,33074.6,33079.1,32304.4,32417.55,304848087,7090.22
24-JAN-2025,33946.9,34203.95,33171.8,33263.55,269048309,8579.59
23-JAN-2025,33707.3,34095.25,33574.7,33866.6,216646209,6298.29
22-JAN-2025,34400.5,34452.5,33434.25,33805.2,245146674,7023.78
21-JAN-2025,35014.85,35043.4,34262.3,34308.5,258106169,8195.81
20-JAN-2025,34833.45,35041.4,34552.9,34970.55,228755732,7134.56
17-JAN-2025,34415.75,34784.4,34234.45,34686.1,279875919,10406.88
16-JAN-2025,34279.4,34380.45,34135.75,34275.1,264729380,9225.65
15-JAN-2025,33793.8,34131.85,33666.15,33821.2,348705957,11457.29
14-JAN-2025,32807.5,33665.85,32802.8,33567.75,396644821,14459.07
13-JAN-2025,33379.6,33602.75,32490.85,32623.1,452920012,11940.9
