Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,14669.8,14770.75,14490.45,14561.6,1218300183,19409.21
27-MAR-2025,14493.5,14628.35,14462.7,14591.7,1561236121,14369.41
26-MAR-2025,14670.05,14774.3,14546.05,14567.05,904227710,8142.31
25-MAR-2025,14921.85,14929.45,14594.2,14659.2,800616243,9545.75
24-MAR-2025,14745.25,14897.7,14691.7,14829.8,830269884,8635.88
21-MAR-2025,14474.3,14652.3,14428.75,14630.15,1145123907,12807.6
20-MAR-2025,14483.4,14501.3,14333.15,14479.75,774620733,9644.36
19-MAR-2025,14109.9,14412.25,14087.7,14389.75,1066812337,9629.29
18-MAR-2025,13827.45,14059.9,13794.15,14041.3,574248608,7087.92
17-MAR-2025,13646.05,13797.65,13640.75,13752.35,583193244,7267.79
13-MAR-2025,13798.25,13809.2,13604.8,13632.85,649289136,6801.3
12-MAR-2025,13873.2,13910.7,13567.35,13743.65,850789105,7896.25
11-MAR-2025,13590.4,13867.65,13544.2,13835.75,644729069,7234.21
10-MAR-2025,13939.05,14027.8,13661,13708.4,735322074,7261.34
07-MAR-2025,13975.45,14066.85,13891,13922.1,621712182,6742.49
06-MAR-2025,14067.95,14106.25,13960.4,13983.2,581401009,7313.68
05-MAR-2025,13546.6,13948.5,13546.6,13936.7,739816119,9163.46
04-MAR-2025,13445.4,13669.6,13337.75,13594.55,718494898,8224.34
03-MAR-2025,13553.05,13635.6,13274.4,13602.85,832557135,10400.61
28-FEB-2025,13726.05,13732.55,13428.75,13540.15,964600242,16823.32
27-FEB-2025,13954.35,13978.7,13763.65,13824.45,640419066,11691.13
25-FEB-2025,13997.85,14099.6,13910.55,13942.2,386586570,5518
24-FEB-2025,14017,14053.4,13895.95,14022.05,489439049,6209.04
21-FEB-2025,14315.35,14410.65,14088.65,14142.5,550151533,6996.88
20-FEB-2025,14132.5,14337.75,14074.85,14323.05,396383416,5591.46
19-FEB-2025,13911.4,14208.1,13834,14162.75,567018360,7185.39
18-FEB-2025,14013.75,14037.85,13828.2,13996.75,575004173,6458.18
17-FEB-2025,13832.05,14022.55,13613.9,13996.85,724443465,7708.69
14-FEB-2025,14303.65,14328.8,13770.65,13927.35,772562946,8115.16
13-FEB-2025,14246.3,14438.95,14212.9,14257.05,978347291,9433.07
12-FEB-2025,14228.2,14297.05,13833.45,14218.5,943420037,9797.85
11-FEB-2025,14681.6,14689.9,14139.7,14253.6,498127662,7201.67
10-FEB-2025,15012.8,15027.05,14630.6,14671.2,471431128,5987.14
07-FEB-2025,14984.65,15098.6,14840.45,15010.1,872579777,7514.29
06-FEB-2025,15223.65,15238.15,14927.4,14961.9,444620422,6911.42
05-FEB-2025,15126.9,15258.65,15111.25,15155.95,601235316,8132.59
04-FEB-2025,14929.25,15102.6,14922.8,15070,659699662,9147.69
03-FEB-2025,14835.65,14864.25,14653.1,14828.5,730635872,11614.28
01-FEB-2025,15023.35,15056.8,14660.05,14925.65,1194997859,9358.93
31-JAN-2025,14713.75,14982,14657,14948.1,697662155,9739.22
30-JAN-2025,14738.25,14796.3,14635.45,14674.05,572704786,11161.44
29-JAN-2025,14368.75,14684.95,14366.75,14671.25,496116823,8777.12
28-JAN-2025,14445.05,14501.75,14183.4,14341.4,780110594,11472.57
27-JAN-2025,14682.05,14686.8,14392.15,14427.05,852021785,9591
24-JAN-2025,15030.55,15065.7,14771.55,14827,565769462,10630.33
23-JAN-2025,14795.55,15059.25,14759.5,15008.2,614205030,10073.38
22-JAN-2025,14992.5,15019,14570.6,14774.75,666109615,11457.58
21-JAN-2025,15324.3,15328.45,14944.4,14963,846143524,11135.98
20-JAN-2025,15242.2,15344.25,15059.9,15298.45,2053915706,9806.15
17-JAN-2025,15147.8,15192.9,15034.3,15139.65,715144446,7166.81
16-JAN-2025,15189.85,15243.6,15111.7,15131.5,791740158,7544.89
15-JAN-2025,15037.4,15169.15,14914.7,15038.4,1690041904,11147.37
14-JAN-2025,14705.15,15019.7,14703.5,14970.1,884570920,8792.26
13-JAN-2025,15076.95,15111.3,14618.3,14650.1,1017147646,10374.73
10-JAN-2025,15549.9,15577.95,15247.65,15266.45,629687423,9066.07
09-JAN-2025,15720.35,15776.9,15552.15,15574.75,571146604,11209.77
08-JAN-2025,15905.75,15909.5,15506.6,15692.2,575451831,9588.88
07-JAN-2025,15780.95,15959.65,15778.7,15868.05,627407820,6973.71
06-JAN-2025,16227.9,16230.8,15698.55,15748.3,783871661,8393.21
03-JAN-2025,16265.25,16299.3,16155.45,16181.6,727535317,8074.83
02-JAN-2025,16090.25,16264.6,16033.3,16241.95,693307680,8841.45
01-JAN-2025,15985.25,16060.1,15926.6,16051.95,526303607,4672.4
31-DEC-2024,15933.1,16042,15788.45,15974.1,666695852,8060.55
30-DEC-2024,15915.2,16065.5,15817.85,16030.35,1101945481,15848.07
27-DEC-2024,16002,16025.05,15911.4,15919.4,351683009,5007.24
26-DEC-2024,15957.5,15995.05,15815.7,15962.95,465285031,6049.92
24-DEC-2024,15976.3,16014.8,15862.75,15926.8,471913202,5593.28
23-DEC-2024,15962.2,16069.25,15848.25,15955.25,508793126,6610.99
20-DEC-2024,16372.35,16393.15,15854.35,15881.1,695417841,9442.91
19-DEC-2024,16120.2,16336.75,16085.25,16322.75,528297425,8763.33
18-DEC-2024,16481.95,16499.1,16317.7,16381.35,675657601,8153.41
17-DEC-2024,16574.1,16623.6,16461.45,16490.05,715024323,9655.93
16-DEC-2024,16505.45,16585.1,16489.75,16572.9,397407981,9162.53
13-DEC-2024,16425.05,16464.6,16193.9,16456.25,787799401,8480.62
12-DEC-2024,16540.05,16570.4,16433.05,16463.85,637016071,8387.73
11-DEC-2024,16480.15,16555.7,16460.1,16536.95,450196505,7018.13
10-DEC-2024,16421.2,16493.95,16371.5,16483.65,628480217,8944.97
09-DEC-2024,16296.2,16425.6,16292.55,16409.5,596564695,9760.57
06-DEC-2024,16302.25,16344.5,16232.95,16322.25,721422347,8175.65
05-DEC-2024,16325.2,16325.2,16148.15,16270.95,1209583270,10370.01
04-DEC-2024,16109.5,16232.35,16086.05,16217.05,781264430,10909.7
03-DEC-2024,16029.2,16064.9,15970.55,16055.7,664356249,9719.87
02-DEC-2024,15707.35,15945.3,15652,15923.55,581148826,9124.96
29-NOV-2024,15670.4,15746.3,15632.65,15697.75,817617266,8800.95
28-NOV-2024,15761.4,15815.6,15628.85,15661.85,1335587061,9672.38
27-NOV-2024,15684.95,15744.1,15571.45,15730.4,1412042160,8054.36
26-NOV-2024,15673.95,15750.95,15622.1,15635.35,2100982106,8927.8
25-NOV-2024,15610.1,15666.8,15579.45,15604.05,1399200235,25822.46
22-NOV-2024,15180.2,15380.05,15157.6,15353.7,922708691,8371.3
21-NOV-2024,15193.65,15240.8,15028.65,15167.55,1067716433,11670.58
19-NOV-2024,15139.8,15345.2,15124.6,15185,646350063,8384.43
18-NOV-2024,15137.65,15164.4,15000.55,15079.15,769245200,9837.06
14-NOV-2024,14991.35,15150.8,14986.55,15048.1,681651980,8246.35
13-NOV-2024,15276.75,15314.65,14913.75,14966.5,884798221,9436.43
12-NOV-2024,15582.1,15658.6,15303.7,15341.4,540258022,8602.06
11-NOV-2024,15626.7,15645.1,15483.45,15529.2,701664196,9852.35
08-NOV-2024,15903.35,15907.95,15609.95,15656.9,663352353,11709.24
07-NOV-2024,16041.85,16053.9,15834.7,15856.6,654002395,9129.32
06-NOV-2024,15680.4,15985.55,15656.9,15958.4,657190026,12666.38
05-NOV-2024,15481.45,15610.1,15326.7,15591.75,824678697,9110.59
04-NOV-2024,15677.75,15678.8,15425.2,15507.2,951303607,10056.1
01-NOV-2024,15643.2,15685,15632.2,15649.3,316799296,1296.34
31-OCT-2024,15658.65,15675.9,15462.3,15539.6,1025144648,10498.57
30-OCT-2024,15651.5,15778.35,15578.25,15647.5,1300422246,11792.49
29-OCT-2024,15626.05,15694.45,15394.7,15677.45,877101884,11322.77
28-OCT-2024,15437.25,15611.3,15374.1,15544.65,1354794715,11617.54
25-OCT-2024,15704.4,15709.8,15245.45,15419.6,1001610519,16054.45
24-OCT-2024,15759.65,15803.65,15623.55,15656.5,634543778,9944.96
23-OCT-2024,15709.9,15934,15582.65,15763,847159163,11072.14
22-OCT-2024,16153.5,16191.25,15709.35,15739.5,791604533,9681.01
21-OCT-2024,16495.75,16549.35,16113.1,16135.2,739660770,9937.8
18-OCT-2024,16342.65,16490.35,16181.25,16460.6,496636033,8244.38
17-OCT-2024,16682.8,16685.85,16382.95,16399.2,547540510,9720.57
16-OCT-2024,16661.95,16737.6,16595.7,16659.05,551660436,10199.59
15-OCT-2024,16668.65,16679.05,16556.65,16658.95,518036256,8124.51
14-OCT-2024,16553.9,16639.2,16482.95,16617.45,519486916,8000.59
11-OCT-2024,16500.2,16530.45,16414.95,16520.9,478640700,7300.94
10-OCT-2024,16635.4,16654.05,16438,16482.35,534221441,8019.22
09-OCT-2024,16503.2,16663.55,16494,16549.2,808125724,11210.27
08-OCT-2024,16065.05,16440.7,16020.05,16408.35,891086376,11878.26
07-OCT-2024,16455.95,16509.05,15983.75,16133.15,1180640413,12244.36
04-OCT-2024,16539,16623.45,16267.5,16387.6,871497880,12041.76
